,study_id,title,type,enrollment_category,enrollment_subcategory,enrollment_value,category,category,group,group_description,value
75,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B1,Placebo,7
76,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B2,Remdesivir,8
77,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B3,Total,15
78,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B1,Placebo,21
79,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B2,Remdesivir,22
80,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B3,Total,43
81,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B1,Placebo,6
82,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B2,Remdesivir,4
83,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B3,Total,10
84,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B1,Placebo,21
85,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B2,Remdesivir,25
86,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B3,Total,46
87,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B1,Placebo,6
88,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B2,Remdesivir,7
89,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B3,Total,13
90,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B1,Placebo,12
91,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B2,Remdesivir,16
92,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,enrollment region,enrollment region,B3,Total,28
93,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,Disease severity,Disease severity,B1,Placebo,50
94,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,Disease severity,Disease severity,B2,Remdesivir,55
95,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,Disease severity,Disease severity,B3,Total,105
96,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,Disease severity,Disease severity,B1,Placebo,471
97,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,Disease severity,Disease severity,B2,Remdesivir,486
98,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,gender,All,Disease severity,Disease severity,B3,Total,957
99,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,milestone,milestone,P1,Placebo,521
100,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,milestone,milestone,P2,Remdesivir,541
101,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,milestone,milestone,P1,Placebo,517
102,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,milestone,milestone,P2,Remdesivir,531
103,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,milestone,milestone,P1,Placebo,508
104,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,milestone,milestone,P2,Remdesivir,517
105,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,milestone,milestone,P1,Placebo,13
106,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,milestone,milestone,P2,Remdesivir,24
107,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,withdrawal reason,withdrawal reason,P1,Placebo,4
108,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,withdrawal reason,withdrawal reason,P2,Remdesivir,10
109,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,withdrawal reason,withdrawal reason,P1,Placebo,1
110,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,withdrawal reason,withdrawal reason,P2,Remdesivir,0
111,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,withdrawal reason,withdrawal reason,P1,Placebo,7
112,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,withdrawal reason,withdrawal reason,P2,Remdesivir,9
113,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,withdrawal reason,withdrawal reason,P1,Placebo,0
114,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,withdrawal reason,withdrawal reason,P2,Remdesivir,4
115,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,withdrawal reason,withdrawal reason,P1,Placebo,1
116,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,withdrawal reason,withdrawal reason,P2,Remdesivir,1
117,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,age,age,B1,Placebo,0
118,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,age,age,B2,Remdesivir,0
119,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,age,age,B3,Total,0
120,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,age,age,B1,Placebo,324
121,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,age,age,B2,Remdesivir,354
122,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,age,age,B3,Total,678
123,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,age,age,B1,Placebo,197
124,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,age,age,B2,Remdesivir,187
125,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,age,age,B3,Total,384
126,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,"sex: female, male","sex: female, male",B1,Placebo,189
127,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,"sex: female, male","sex: female, male",B2,Remdesivir,189
128,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,"sex: female, male","sex: female, male",B3,Total,378
129,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,"sex: female, male","sex: female, male",B1,Placebo,332
130,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,"sex: female, male","sex: female, male",B2,Remdesivir,352
131,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,"sex: female, male","sex: female, male",B3,Total,684
132,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,ethnicity (nih/omb),ethnicity (nih/omb),B1,Placebo,116
133,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,ethnicity (nih/omb),ethnicity (nih/omb),B2,Remdesivir,134
134,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,ethnicity (nih/omb),ethnicity (nih/omb),B3,Total,250
135,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,ethnicity (nih/omb),ethnicity (nih/omb),B1,Placebo,373
136,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,ethnicity (nih/omb),ethnicity (nih/omb),B2,Remdesivir,382
137,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,ethnicity (nih/omb),ethnicity (nih/omb),B3,Total,755
138,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,ethnicity (nih/omb),ethnicity (nih/omb),B1,Placebo,32
139,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,ethnicity (nih/omb),ethnicity (nih/omb),B2,Remdesivir,25
140,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,ethnicity (nih/omb),ethnicity (nih/omb),B3,Total,57
141,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B1,Placebo,3
142,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B2,Remdesivir,4
143,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B3,Total,7
144,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B1,Placebo,56
145,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B2,Remdesivir,79
146,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B3,Total,135
147,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B1,Placebo,2
148,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B2,Remdesivir,2
149,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B3,Total,4
150,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B1,Placebo,117
151,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B2,Remdesivir,109
152,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B3,Total,226
153,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B1,Placebo,287
154,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B2,Remdesivir,279
155,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B3,Total,566
156,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B1,Placebo,1
157,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B2,Remdesivir,2
158,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B3,Total,3
159,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B1,Placebo,55
160,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B2,Remdesivir,66
161,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,race (nih/omb),race (nih/omb),B3,Total,121
162,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B1,Placebo,19
163,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B2,Remdesivir,14
164,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B3,Total,33
165,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B1,Placebo,12
166,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B2,Remdesivir,9
167,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B3,Total,21
168,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B1,Placebo,7
169,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B2,Remdesivir,9
170,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B3,Total,16
171,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B1,Placebo,410
172,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B2,Remdesivir,427
173,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B3,Total,837
174,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B1,Placebo,7
175,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B2,Remdesivir,8
176,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B3,Total,15
177,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B1,Placebo,21
178,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B2,Remdesivir,22
179,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B3,Total,43
180,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B1,Placebo,6
181,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B2,Remdesivir,4
182,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B3,Total,10
183,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B1,Placebo,21
184,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B2,Remdesivir,25
185,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B3,Total,46
186,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B1,Placebo,6
187,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B2,Remdesivir,7
188,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B3,Total,13
189,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B1,Placebo,12
190,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B2,Remdesivir,16
191,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,enrollment region,enrollment region,B3,Total,28
192,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,Disease severity,Disease severity,B1,Placebo,50
193,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,Disease severity,Disease severity,B2,Remdesivir,55
194,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,Disease severity,Disease severity,B3,Total,105
195,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,Disease severity,Disease severity,B1,Placebo,471
196,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,Disease severity,Disease severity,B2,Remdesivir,486
197,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,minimum_age,18 Years,Disease severity,Disease severity,B3,Total,957
198,0,Adaptive COVID-19 Treatment Trial (ACTT),Interventional,eligibility,maximum_age,99 Years,milestone,milestone,P1,Placebo,521
