"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Study Type","Locations","Study Documents","URL"
11,"NCT04425538","A Phase 2 Trial of Infliximab in Coronavirus Disease 2019 (COVID-19).","Completed","No Results Available","COVID-19","Drug: Infliximab","Tufts Medical Center|National Institutes of Health (NIH)","Interventional","Tufts Medical Center, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT04425538"
12,"NCT04374838","Effect of COVID-19 Pandemic on Pediatric Cancer Care","Recruiting","No Results Available","Covid19",,"South Egypt Cancer Institute","Observational","South Egypt Cancer Institute, Assiut University, Assiut, Egypt",,"https://ClinicalTrials.gov/show/NCT04374838"
13,"NCT04547257","Safety & Performance Evaluation of Seraph 100 in Treatment of Pts With COVID-19","Not yet recruiting","No Results Available","COVID-19","Device: Seraph 100","ExThera Medical Europe BV|ExThera Medical Corporation","Interventional","Carla Kikken-Jussen, Vaals, Limburg, Netherlands",,"https://ClinicalTrials.gov/show/NCT04547257"
14,"NCT04460274","Forecast Number of Covid-19 Cases Worldwide","Completed","No Results Available","Covid-19","Other: Model Building|Other: Model validation","Turkish Ministry of Health Izmir Teaching Hospital","Observational","Republic of Turkey, Health Sciences University, Izmir Bozyaka Education and Training Hospital, İzmir, Turkey",,"https://ClinicalTrials.gov/show/NCT04460274"
15,"NCT04343183","Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection","Not yet recruiting","No Results Available","COVID-19","Device: Hyperbaric Oxygen Therapy","Ochsner Health System","Interventional","Ochsner Medical Center, New Orleans, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT04343183"
16,"NCT04738175","Study to Evaluate the Safety and Efficacy of a Single Dose of STI-2020 (COVI-AMG™) to Treat COVID-19","Not yet recruiting","No Results Available","Covid19","Biological: COVI-AMG|Drug: Placebo","Sorrento Therapeutics, Inc.","Interventional",,,"https://ClinicalTrials.gov/show/NCT04738175"
17,"NCT04374513","Community Pharmacists Behaviour During Covid-19","Completed","No Results Available","Covid19",,"Damanhour University","Observational","Damanhour university, Beheira, Damanhour, Egypt|Damanhour universty, Alexandria, Egypt",,"https://ClinicalTrials.gov/show/NCT04374513"
18,"NCT04771351","Study to Evaluate a Single Dose of STI-2020 (COVI-AMG™) in Hospitalized Adults With COVID-19","Not yet recruiting","No Results Available","Covid19","Biological: COVI-AMG|Drug: Placebo","Sorrento Therapeutics, Inc.","Interventional",,,"https://ClinicalTrials.gov/show/NCT04771351"
19,"NCT04454307","Safety and Efficacy of Tramadol in COVID-19 Egyptian Patients","Not yet recruiting","No Results Available","COVID-19","Drug: Tramadol|Other: Standard care delivered in the isolation hospitals.","Tanta University","Interventional",,,"https://ClinicalTrials.gov/show/NCT04454307"
20,"NCT04734860","Study to Evaluate a Single Dose of STI-2020 (COVI-AMG™) in Adults With Mild COVID-19 Symptoms","Not yet recruiting","No Results Available","Covid19","Biological: COVI-AMG|Drug: Placebo","Sorrento Therapeutics, Inc.","Interventional",,,"https://ClinicalTrials.gov/show/NCT04734860"
21,"NCT04452435","Safety and Efficacy of C21 in Subjects With COVID-19","Completed","No Results Available","COVID-19","Drug: C21|Drug: Placebo","Vicore Pharma AB|Orphan Reach","Interventional","Department of Medicine, Civil Hospital and B J Medical College, Ahmadabad, Gujarat, India|Infectious Disease, Metas Adventist Hospital, Surat, Gujarat, India|Clinical Research Department, Basement, Unity Trauma Centre and ICU (Unity Hospital, Surat, Gujarat, India|First Floor Clinical Research Department Rhythm Heart Institute, Vadodara, Gujarat, India|Internal Medicine S.L. Raheja Hospital, Mumbai, Maharashtra, India|Department of Medicine, Government Medical College and Hospital, Nagpur, Maharashtra, India|Neuro Critical Care, Grant Medical Foundation Ruby Hall Clinic, Pune, Maharashtra, India|Department of Medicine, Noble Hospitals Pvt. Ltd, Pune, Maharashtra, India|Respiratory Medicine, University College Hospital, London, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04452435"
22,"NCT04333550","Application of Desferal to Treat COVID-19","Recruiting","No Results Available","COVID-19","Drug: Deferoxamine","Kermanshah University of Medical Sciences","Interventional","Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of",,"https://ClinicalTrials.gov/show/NCT04333550"
23,"NCT04412382","Covid-19: Possible Role of Neutrophil Extracellular Traps","Recruiting","No Results Available","Covid-19","Diagnostic Test: NETosis markers","Azienda Ospedaliera Universitaria Integrata Verona","Observational","Univeristy of Verona, Verona, Italy",,"https://ClinicalTrials.gov/show/NCT04412382"
24,"NCT04432987","Dornase Alpha for the Treatment of COVID-19","Recruiting","No Results Available","COVID-19","Drug: Pulmozyme","Acibadem University|The Scientific and Technological Research Council of Turkey","Interventional","Acıbadem Altunizade Hospital, Istanbul, Turkey",,"https://ClinicalTrials.gov/show/NCT04432987"
25,"NCT04528667","Study of the Safety and Efficacy of STI-5656 (Abivertinib Maleate) in Subjects Hospitalized Due to COVID-19","Recruiting","No Results Available","Covid19","Drug: STI-5656|Drug: Placebo","Sorrento Therapeutics, Inc.","Interventional","Hospital e Maternidade Christovão da Gama, Santo André, SP, Brazil",,"https://ClinicalTrials.gov/show/NCT04528667"
26,"NCT04584697","Study to Evaluate the Safety, Pharmacokinetics and Efficacy of STI-2020 (COVI-AMG™) in Outpatients With COVID-19","Withdrawn","No Results Available","Covid19","Biological: COVI-AMG|Drug: Placebo","Sorrento Therapeutics, Inc.","Interventional",,,"https://ClinicalTrials.gov/show/NCT04584697"
27,"NCT04483622","Immunoglobulin G Antibody Immune Response Profile Following Infection With SARS-CoV-2 in COVID-19 Egyptian Patients","Recruiting","No Results Available","Covid19",,"Sohag University","Observational","Sohag University Hospital, Sohag, Egypt",,"https://ClinicalTrials.gov/show/NCT04483622"
28,"NCT04628143","A Study Evaluating the Efficacy and Safety of CKD-314 in Hospitalized Adult Patients Diagnosed With COVID-19 Pneumonia","Not yet recruiting","No Results Available","COVID-19","Drug: Nafamostat Mesilate","Chong Kun Dang Pharmaceutical","Interventional",,,"https://ClinicalTrials.gov/show/NCT04628143"
29,"NCT04768179","Safety & Efficacy of Low Dose Aspirin / Ivermectin Combination Therapy for Treatment of Covid-19 Patients","Not yet recruiting","No Results Available","Covid19","Drug: 3-dayIVM 200 mcg/kg/day/14-day 75mgASA/day + standard of care (intervention 1)","Makerere University|Ministry of Health, Uganda|Mbarara University of Science and Technology|Joint Clinical Research Center","Interventional",,,"https://ClinicalTrials.gov/show/NCT04768179"
30,"NCT04336904","Clinical Study To Evaluate The Performance And Safety Of Favipiravir in COVID-19","Active, not recruiting","No Results Available","COVID-19","Drug: Favipiravir|Other: Placebo","Giuliano Rizzardini|ASST Fatebenefratelli Sacco","Interventional","Asst Fatebenefratelli Sacco, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04336904"
31,"NCT04427254","Study of the Sars-Cov2 Neuroinvasiveness - COVID19","Not yet recruiting","No Results Available","COVID19","Drug: Cerebrospinal fluid sampling, meningeal and brain parenchyma biopsies","Fondation Ophtalmologique Adolphe de Rothschild","Interventional","Fondation A de Rothschild, Paris, France",,"https://ClinicalTrials.gov/show/NCT04427254"
32,"NCT04747769","COVID-19. CT-Scan Modeling in COVID19 Sequelae","Not yet recruiting","No Results Available","COVID-19",,"Assistance Publique - Hôpitaux de Paris","Observational","Hôpital Avicenne APHP, Bobigny, France",,"https://ClinicalTrials.gov/show/NCT04747769"
33,"NCT04359095","Effectiveness and Safety of Medical Treatment for SARS-CoV-2 (COVID-19) in Colombia","Recruiting","No Results Available","COVID-19","Drug: Emtricitabine/tenofovir|Drug: Colchicine Pill|Drug: Rosuvastatin|Other: Standard treatment","Universidad Nacional de Colombia|Pontificia Universidad Javeriana|Clínica Universitaria Colombia|Hospital Universitario San Ignacio|Hospital Universitario Nacional de Colombia|Clínica Reina Sofía|Fundación Cardio Infantil|Clinica Santa maria del Lago","Interventional","Clinica santa Maria del lago, Bogota, DC, Colombia|Hospital Universitario de Neiva, Neiva, Huila, Colombia|Clínica Reina Sofía, Bogotá, Colombia|Fundacion Cardio Infantil, Bogotá, Colombia|Hospital Universitario San Ignacio, Bogotá, Colombia|Clinica Universitaria Colombia, Bogotá, Colombia|Hospital Universitario Nacional de Colombia, Bogotá, Colombia",,"https://ClinicalTrials.gov/show/NCT04359095"
34,"NCT04568031","Study of AZD1222 for the Prevention of COVID-19 in Japan","Active, not recruiting","No Results Available","COVID-19","Drug: AZD1222|Drug: 0.9% (w/v) saline","AstraZeneca|Iqvia Pty Ltd","Interventional","Research Site, Fukuoka-shi, Japan|Research Site, Hachioji-shi, Japan|Research Site, Minato-ku, Japan|Research Site, Sumida-ku, Japan|Research Site, Toshima-ku, Japan",,"https://ClinicalTrials.gov/show/NCT04568031"
35,"NCT04445272","Clinical Trial to Evaluate the Effectiveness and Safety of Tocilizumab for Treating Patients With COVID-19 Pneumonia","Completed","No Results Available","COVID-19","Drug: Tocilizumab","Fundacion SEIMC-GESIDA|Roche Pharma AG|Dynamic Science S.L.","Interventional","Hospital Universitario de Cabueñes, Gijón, Asturias, Spain|Hospital Universitari de Bellvitge, L'Hospitalet De Llobregat, Barcelona, Spain|Hospital Sant Joan de Déu de Manresa, Manresa, Barcelona, Spain|Hospital de Mataró, Mataró, Barcelona, Spain|Hospital Universitario de Galdakao, Galdakao, Bizkaia, Spain|Hospital Universitario Marqués Valdecilla, Santander, Cantabria, Spain|Hospital Público General del Tomelloso, Tomelloso, Ciudad Real, Spain|Hospital Jerez de la Frontera, Jerez De La Frontera, Cádiz, Spain|Hospital Universitari Son Espases, Palma De Mallorca, Islas Baleares, Spain|Hospital Universitario Fundación Alcorcón, Alcorcón, Madrid, Spain|Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Rey Juan Carlos, Móstoles, Madrid, Spain|Hospital Universitario Infanta Sofía, San Sebastián De Los Reyes, Madrid, Spain|Complejo Hospitalario de Navarra, Pamplona, Navarra, Spain|Hospital Nuestra Señora del Prado, Talavera De La Reina, Toledo, Spain|Complejo Hospitalario Universitario de Albacete, Albacete, Spain|Hospital Infanta Cristina, Badajoz, Spain|Hospital Clínic i Provincial Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitario de Burgos, Burgos, Spain|Hospital Universitario Dr. Josep Trueta, Gerona, Spain|Hospital Universitario Clínico San Cecilio, Granada, Spain|Hospital Universitario Virgen de las Nieves, Granada, Spain|Hospital General Universitario Gregorio Marañón, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Universitario HM Sanchinarro, Madrid, Spain|Hospital Universitario Infanta Leonor, Madrid, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Clínico Universitario Virgen de la Arrixaca, Murcia, Spain|Hospital Regional Universitario de Málaga, Málaga, Spain|Complexo Hospitalario Universitario de Ourense, Orense, Spain|Hospital Universitario Salamanca, Salamanca, Spain|Hospital Universitario Virgen de la Macarena, Sevilla, Spain|Hospital Universitario Virgen del Rocío, Sevilla, Spain|Hospital Virgen de la Salud, Toledo, Spain|Hospital Clinico Universitario de Valencia, Valencia, Spain|Hospital Universitari i Poliectenic La Fe, Valencia, Spain|Hospital Universitario Dr. Peset, Valencia, Spain|Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain|Hospital Universitario Miguel Servet, Zaragoza, Spain",,"https://ClinicalTrials.gov/show/NCT04445272"
36,"NCT04466644","COVID-19: A Prevalence Study of Two ART Centres After the Pandemic Lockdown in the USA (COVID-19 Free Clinics)","Completed","No Results Available","COVID-19","Diagnostic Test: ELISA|Diagnostic Test: RT-PCR","Igenomix","Observational","Boston IVF Fertility Clinic, Boston, Massachusetts, United States|Utah Fertility Clinic, Pleasant Grove, Utah, United States",,"https://ClinicalTrials.gov/show/NCT04466644"
37,"NCT04354831","A Study Evaluating the Efficacy and Safety of High-Titer Anti-SARS-CoV-2 Plasma in Hospitalized Patients With COVID-19 Infection","Active, not recruiting","No Results Available","COVID-19","Biological: anti-SARS-CoV-2 convalescent plasma","Medical College of Wisconsin|Froedtert Hospital","Interventional","Froedtert Hospital, Milwaukee, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04354831"
38,"NCT04523831","Clinical Trial of Ivermectin Plus Doxycycline for the Treatment of Confirmed Covid-19 Infection","Completed","Has Results","Covid19","Drug: Ivermectin and Doxycycline|Drug: Standard of care","Dhaka Medical College","Interventional","Dhaka Medical College, Dhaka, Bangladesh","""Study Protocol and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT04523831/Prot_ICF_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/31/NCT04523831/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT04523831"
39,"NCT04540393","AZD1222 Vaccine for the Prevention of COVID-19","Suspended","No Results Available","COVID-19","Biological: AZD1222","AstraZeneca|Iqvia Pty Ltd|Covance","Interventional","Research Site, Moscow, Russian Federation|Research Site, Moscow, Russian Federation|Research Site, Saint Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, St. Petersburg, Russian Federation",,"https://ClinicalTrials.gov/show/NCT04540393"
40,"NCT04582266","PK and Safety of Remdesivir for Treatment of COVID-19 in Pregnant and Non-Pregnant Women in the US","Not yet recruiting","No Results Available","COVID-19","Drug: Remdesivir","International Maternal Pediatric Adolescent AIDS Clinical Trials Group","Observational","USC/Los Angeles County Medical Center NICHD CRS (5048), Los Angeles, California, United States|David Geffen School of Medicine at UCLA (CRS 5112), Los Angeles, California, United States|University California, San Diego (CRS 4601), San Diego, California, United States|Childrens Hospital (U. Colorado, Denver) NICHD CRS (5052), Denver, Colorado, United States|University of Florida (5051), Jacksonville, Florida, United States|Univ of Miami Pediatric/Perinatal HIV/AIDS (4201), Miami, Florida, United States|Emory University School of Medicine (CRS 5030), Atlanta, Georgia, United States|Ann & Robert H Lurie Children's Hospital of Chicago (4001), Chicago, Illinois, United States|Rush University Cook County Hospital NICHD CRS (5083), Chicago, Illinois, United States|Johns Hopkins University NICHD CRS (5092), Baltimore, Maryland, United States|Boston Medical Center Ped. HIV Program NICHD CRS (5011), Boston, Massachusetts, United States|Bronx-Lebanon Hospital Center (CRS 5114), Bronx, New York, United States|Jacobi Med. Ctr. Bronx NICHD CRS (5013), Bronx, New York, United States|Stony Brook University Medical Center (CRS 5040), Stony Brook, New York, United States|St. Jude Childrens Research Hosp, Memphis (6501), Memphis, Tennessee, United States|Texas Children's Hospital, Houston, Texas, United States|University of Puerto Rico Pediatric HIV/AIDS CRS (6601), San Juan, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT04582266"
41,"NCT04445285","Phase 2 Trial Using rhDNase to Reduce Mortality in COVID-19 Patients With Respiratory Failure","Recruiting","No Results Available","Covid19","Drug: Pulmozyme/ Recombinant human deoxyribonuclease (rh-DNase)|Drug: 0.9%sodium chloride","Jon Simmons|University of South Alabama","Interventional","University of South Alabama, Mobile, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT04445285"
42,"NCT04351802","CORonavirus (COVID-19) Diagnostic Lung UltraSound Study","Recruiting","No Results Available","COVID-19","Diagnostic Test: Lung ultrasound","University Hospital Plymouth NHS Trust","Observational","Derriford Hospital, Plymouth, Devon, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04351802"
43,"NCT04657419","Fatigue and Sleep in Patients With COVID-19","Not yet recruiting","No Results Available","Covid19","Other: survey","University Hospital, Bordeaux","Observational",,,"https://ClinicalTrials.gov/show/NCT04657419"
44,"NCT04345445","Study to Evaluate the Efficacy and Safety of Tocilizumab Versus Corticosteroids in Hospitalised COVID-19 Patients With High Risk of Progression","Not yet recruiting","No Results Available","COVID-19","Drug: Tocilizumab|Drug: Methylprednisolone","University of Malaya","Interventional","University Malaya Medical Centre, Kuala Lumpur, Malaysia",,"https://ClinicalTrials.gov/show/NCT04345445"
45,"NCT04723394","Phase III Study of AZD7442 for Treatment of COVID-19 in Outpatient Adults","Recruiting","No Results Available","COVID-19","Drug: AZD7442|Drug: Placebo","AstraZeneca","Interventional","Research Site, Tempe, Arizona, United States|Research Site, Tucson, Arizona, United States|Research Site, Huntington Beach, California, United States|Research Site, Long Beach, California, United States|Research Site, Pomona, California, United States|Research Site, Rolling Hills Estates, California, United States|Research Site, Pompano Beach, Florida, United States|Research Site, Conyers, Georgia, United States|Research Site, Chicago, Illinois, United States|Research Site, La Vista, Nebraska, United States|Research Site, North Las Vegas, Nevada, United States|Research Site, New York, New York, United States|Research Site, Statesville, North Carolina, United States|Research Site, Fargo, North Dakota, United States|Research Site, Columbus, Ohio, United States|Research Site, West Columbia, South Carolina, United States|Research Site, Knoxville, Tennessee, United States|Research Site, Dallas, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Houston, Texas, United States|Research Site, Berlin - Friedrichshain, Germany|Research Site, Berlin, Germany|Research Site, Berlin, Germany|Research Site, Frankfurt, Germany|Research Site, Hamburg, Germany|Research Site, Hannover, Germany|Research Site, Köln, Germany|Research Site, Mainz, Germany|Research Site, München-Pasing, Germany|Research Site, München, Germany|Research Site, Budapest, Hungary|Research Site, Chihuahua, Mexico|Research Site, Cuautitlan Izcalli, Mexico|Research Site, Mérida, Mexico|Research Site, Tlalpan, Mexico|Research Site, Blackpool, United Kingdom|Research Site, Bristol, United Kingdom|Research Site, Connor Downs, United Kingdom|Research Site, Leicester, United Kingdom|Research Site, Rochdale, United Kingdom",,"https://ClinicalTrials.gov/show/NCT04723394"
46,"NCT04663737","Evaluating Safety, Pharmacokinetics and Clinical Benefit of Silmitasertib (CX-4945) in Subjects With Moderate COVID-19","Recruiting","No Results Available","Covid19","Drug: Silmitasertib|Drug: SOC","Chris Recknor, MD|Senhwa Biosciences, Inc.","Interventional","Center for Advanced Research and Education, Gainesville, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT04663737"
47,"NCT04401241","How Routine Biomarkers and Blood Leucocytes Count Can Assist Diagnosis of COVID-19 in Emergency Department","Completed","No Results Available","Covid19",,"Centre Hospitalier Princesse Grace","Observational","Centre Hospitalier Princesse Grace, Monaco, MON, Monaco",,"https://ClinicalTrials.gov/show/NCT04401241"
48,"NCT04476888","Convalescent Plasma Treatment in COVID-19","Completed","No Results Available","Covid19","Biological: Convalescent Plasma (CP)|Other: Drugs and supportive care","Aga Khan University","Interventional","Aga Khan University Hospital, Karachi, Sind, Pakistan",,"https://ClinicalTrials.gov/show/NCT04476888"
49,"NCT04366739","Repurposing of Chlorpromazine in Covid-19 Treatment","Not yet recruiting","No Results Available","COVID-19","Drug: CHLORPROMAZINE (CPZ)|Combination Product: Standard of Care (SOC)","Centre Hospitalier St Anne|Hôpital Cochin","Interventional","Centre Hospitalier Sainte-Anne, Paris, France",,"https://ClinicalTrials.gov/show/NCT04366739"
50,"NCT04366960","Comparison of Two Doses of Enoxaparin for Thromboprophylaxis in Hospitalized COVID-19 Patients","Recruiting","No Results Available","Covid19","Drug: Enoxaparin","Niguarda Hospital","Interventional","Azienda Socio Sanitaria Territoriale Grande Ospedale Metropolitano Niguarda, Milano, Italy",,"https://ClinicalTrials.gov/show/NCT04366960"
51,"NCT04508712","Long-term Outcomes in Patients With COVID-19","Recruiting","No Results Available","COVID-19",,"RenJi Hospital","Observational","Renji Hospital, Shanghai Jiaotong University School of Medicine, Pudong, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04508712"
52,"NCT04718480","Fluvoxamine Administration in Moderate SARS-CoV-2 (COVID-19) Infected Patients","Recruiting","No Results Available","Covid19","Drug: Placebo|Drug: Fluvoxamine","SigmaDrugs Research Ltd.","Interventional","Dél-pesti Centrumkórház, Budapest, Hungary|Semmelweis Egyetem Pulmonológiai Klinika, Budapest, Hungary|Országos Korányi Pulmonológiai Intézet, Budapest, Hungary|Debreceni Egyetem Kenézy Gyula Kórház Infektológia, Debrecen, Hungary",,"https://ClinicalTrials.gov/show/NCT04718480"
53,"NCT04469647","COVID 19 Seroprevalence Amongst Healthcare Workers in JHAH","Enrolling by invitation","No Results Available","COVID 19","Diagnostic Test: Serology Test","Johns Hopkins Aramco Healthcare","Observational","Johns Hopkins Aramco Healthcare, Dhahran, Eastern, Saudi Arabia",,"https://ClinicalTrials.gov/show/NCT04469647"
54,"NCT04736732","The IRCM POST-COVID-19 (IPCO) Clinic","Recruiting","No Results Available","Covid19","Other: Medical follow-up","Institut de Recherches Cliniques de Montreal","Observational","Montreal Clinical Research Institute, Montréal, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT04736732"
55,"NCT04361422","Isotretinoin in Treatment of COVID-19","Not yet recruiting","No Results Available","COVID-19","Drug: Isotretinoin Only Product in Oral Dose Form","Tanta University","Interventional",,,"https://ClinicalTrials.gov/show/NCT04361422"
56,"NCT04531748","Selective Estrogen Modulation and Melatonin in Early COVID-19","Not yet recruiting","No Results Available","Covid19","Drug: Toremifene|Drug: Melatonin|Other: Placebo","Reena Mehra, MD|The Cleveland Clinic","Interventional",,,"https://ClinicalTrials.gov/show/NCT04531748"
57,"NCT04460547","Worldwide Trends on COVID-19 Research After the Declaration of COVID-19 Pandemic","Not yet recruiting","No Results Available","COVID-19","Drug: Convalescent Plasma Transfusion|Drug: Hydroxychloroquine|Drug: DAS181|Drug: Ivermectin|Drug: Interferon Beta-1A","Qassim University","Observational",,,"https://ClinicalTrials.gov/show/NCT04460547"
58,"NCT04527562","Colchicine in Moderate Symptomatic COVID-19 Patients","Completed","No Results Available","Covid19","Drug: Colchicine|Drug: Placebo","Dhaka Medical College","Interventional","Dhaka Medical College Hospital, Dhaka-1000, Bangladesh",,"https://ClinicalTrials.gov/show/NCT04527562"
59,"NCT04355741","Gut Microbiota, ""Spark and Flame"" of COVID-19 Disease","Completed","No Results Available","COVID-19","Other: Exposure","Universidade Nova de Lisboa|NOVA Medical School of Universidade NOVA de Lisboa|Hospital de São Francisco Xavier, Centro Hospitalar de Lisboa Ocidental|Centro Hospitalar Universitário São João|CUF Academic and Research Medical Center|Hospital CUF Infante Santo, S.A.|Centro de Medicina Laboratorial Germano de Sousa, S.A.|CINTESIS - Center for Health Technology and Services Research","Observational","Hospital CUF Infante Santo, S.A., Lisbon, Portugal|Hospital de São Francisco Xavier, Lisbon, Portugal|Centro Hospitalar Universitário São João, Oporto, Portugal",,"https://ClinicalTrials.gov/show/NCT04355741"
